title,description,category,label,keywords
Formation numérique responsable,Réduisez l'empreinte écologique de vos usages digitaux,Environnement,Sensibilisation,"formation, numérique responsable, empreinte, digital"
Levée fonds hôtel insectes,Installons des refuges pour insectes auxiliaires,Environnement,Collecte de fonds,"levée de fonds, hôtel insectes, refuges, auxiliaires"
Nettoyage parking naturel,Ramassons les déchets sur le parking de randonnée,Environnement,Nettoyage,"parking, naturel, ramassage, déchets, randonnée"
Plantation noyers,Plantons des noyers pour les générations futures,Environnement,Plantation,"noyers, plantation, générations, futures"
Atelier liniment bébé,Préparez des produits naturels pour bébé,Environnement,Éco-atelier,"atelier, liniment, bébé, produits naturels"
Conférence permafrost,Le dégel du pergélisol et ses conséquences climatiques,Environnement,Sensibilisation,"conférence, permafrost, pergélisol, climat"
Financement énergie solaire,Équipons l'école en panneaux photovoltaïques,Environnement,Collecte de fonds,"financement, énergie solaire, panneaux, photovoltaïques"
Nettoyage tourbière,Préservons ces zones humides exceptionnelles,Environnement,Nettoyage,"tourbière, zone humide, nettoyage, préservation"
Plantation haie champêtre,Recréons le paysage bocager traditionnel,Environnement,Plantation,"haie, champêtre, plantation, bocage, traditionnel"
Atelier lessive maison,Fabriquez votre lessive écologique et économique,Environnement,Éco-atelier,"atelier, lessive, maison, écologique, économique"
Webinaire pollution lumineuse,Les impacts de l'éclairage nocturne sur la biodiversité,Environnement,Sensibilisation,"webinaire, pollution lumineuse, éclairage, biodiversité"
Don protection hérisson,Sauvegardons les populations de hérissons urbains,Environnement,Collecte de fonds,"don, protection, hérisson, sauvegarde, urbain"
Nettoyage sous-bois,Rendons la forêt accessible et préservée,Environnement,Nettoyage,"sous-bois, forêt, nettoyage, accessible"
Reforestation berge érodée,Stabilisons les berges avec des plantations,Environnement,Plantation,"reforestation, berge, érosion, stabilisation"
Atelier cire mobilier,Entretenez vos meubles avec des produits naturels,Environnement,Éco-atelier,"atelier, cire, mobilier, produits naturels, entretien"
Conférence acidification océans,Les menaces sur les écosystèmes marins,Environnement,Sensibilisation,"conférence, acidification, océans, écosystèmes marins"
Crowdfunding éolienne citoyenne,Produisons notre énergie renouvelable collectivement,Environnement,Collecte de fonds,"crowdfunding, éolienne, citoyenne, énergie renouvelable"
Nettoyage quai,Opération propreté le long des quais du port,Environnement,Nettoyage,"quai, port, nettoyage, propreté"
Plantation arbres têtards,Préservons cette pratique ancestrale de taille,Environnement,Plantation,"arbres, têtards, plantation, pratique ancestrale"
Atelier pierre d'argile,Créez votre produit nettoyant multi-usage naturel,Environnement,Éco-atelier,"atelier, pierre d'argile, nettoyant, multi-usage"
Formation achats vrac,Adoptez le vrac pour réduire vos emballages,Environnement,Sensibilisation,"formation, achats, vrac, emballages, réduction"
Don centre soins faune,Soutenez le sauvetage des animaux sauvages blessés,Environnement,Collecte de fonds,"don, centre soins, faune, sauvetage, animaux"
Ramassage canettes forêt,Collectons les déchets métalliques en forêt,Environnement,Nettoyage,"canettes, forêt, ramassage, déchets métalliques"
Plantation châtaigniers,Restaurons les châtaigneraies traditionnelles,Environnement,Plantation,"châtaigniers, plantation, restauration, châtaigneraies"
Atelier éponge lavable,Cousez des éponges réutilisables pour la vaisselle,Environnement,Éco-atelier,"atelier, éponge, lavable, réutilisable, vaisselle"
Conférence effet de serre,Comprendre le réchauffement climatique global,Environnement,Sensibilisation,"conférence, effet de serre, réchauffement, climatique"
Financement mare naturelle,Créons un point d'eau pour la faune locale,Environnement,Collecte de fonds,"financement, mare, naturelle, point d'eau, faune"
Nettoyage plage galets,Préservons la beauté des plages de galets,Environnement,Nettoyage,"plage, galets, nettoyage, préservation, beauté"
Reforestation coupe rase,Replantons après la coupe forestière,Environnement,Plantation,"reforestation, coupe rase, replantation, forestière"
Atelier pastilles lave-vaisselle,Fabriquez vos tablettes lave-vaisselle écologiques,Environnement,Éco-atelier,"atelier, pastilles, lave-vaisselle, écologique"
Webinaire greenwashing,Décryptez les fausses promesses écologiques,Environnement,Sensibilisation,"webinaire, greenwashing, décryptage, promesses"
Levée fonds observatoire oiseaux,Construisons un poste d'observation ornithologique,Environnement,Collecte de fonds,"levée de fonds, observatoire, oiseaux, ornithologique"
Nettoyage embouchure,Protégeons la zone de rencontre fleuve-mer,Environnement,Nettoyage,"embouchure, fleuve, mer, nettoyage, protection"
Plantation tilleuls,Plantons des tilleuls pour ombrager nos places,Environnement,Plantation,"tilleuls, plantation, ombrage, places"
Atelier shampooing solide,Créez vos shampooings sans emballage plastique,Environnement,Éco-atelier,"atelier, shampooing, solide, sans plastique"
Conférence alternatives viande,Réduire sa consommation de protéines animales,Environnement,Sensibilisation,"conférence, alternatives, viande, protéines, réduction"
Don nichoirs oiseaux,Installez des nichoirs pour accueillir les oiseaux,Environnement,Collecte de fonds,"don, nichoirs, oiseaux, installation, accueil"
Ramassage bord route,Nettoyons les bas-côtés routiers des détritus,Environnement,Nettoyage,"bord route, ramassage, bas-côtés, détritus"
Reforestation versant,Replantons le versant après glissement de terrain,Environnement,Plantation,"reforestation, versant, replantation, glissement"
Atelier sac à pain,Cousez des sacs à pain en tissu pour le boulanger,Environnement,Éco-atelier,"atelier, sac à pain, tissu, couture, boulanger"
Formation minimalisme,Vivre mieux avec moins pour préserver la planète,Environnement,Sensibilisation,"formation, minimalisme, vivre mieux, préservation"
Financement composteur quartier,Installons un composteur collectif dans le quartier,Environnement,Collecte de fonds,"financement, composteur, quartier, collectif"
Nettoyage crique,Préservons les petites criques sauvages du littoral,Environnement,Nettoyage,"crique, littoral, nettoyage, préservation, sauvage"
Plantation peupliers,Plantons des peupliers pour valoriser les zones humides,Environnement,Plantation,"peupliers, plantation, zones humides, valorisation"
Atelier liquide vaisselle,Préparez votre produit vaisselle fait maison,Environnement,Éco-atelier,"atelier, liquide vaisselle, fait maison, préparation"
Conférence fonte glaciers,Les conséquences de la disparition des glaciers,Environnement,Sensibilisation,"conférence, fonte, glaciers, disparition, conséquences"
Crowdfunding micro-ferme,Soutenez l'installation d'une ferme bio locale,Environnement,Collecte de fonds,"crowdfunding, micro-ferme, bio, installation, locale"
Nettoyage plateau montagnard,Préservons la pureté des alpages d'altitude,Environnement,Nettoyage,"plateau, montagnard, nettoyage, alpages, altitude"
Plantation cépée,Replantons en cépée pour une gestion durable,Environnement,Plantation,"cépée, plantation, gestion durable, replantation"
Atelier paillettes biodégradables,Fabriquez des paillettes écologiques végétales,Environnement,Éco-atelier,"atelier, paillettes, biodégradables, écologiques"
Webinaire surconsommation,Les impacts de notre société de consommation,Environnement,Sensibilisation,"webinaire, surconsommation, impacts, société"
Don gîte chauve-souris,Protégez ces auxiliaires nocturnes précieux,Environnement,Collecte de fonds,"don, gîte, chauve-souris, protection, auxiliaires"
Ramassage déchets stade,Nettoyons le complexe sportif après les matchs,Environnement,Nettoyage,"stade, ramassage, déchets, sportif, nettoyage"
Reforestation parc urbain,Enrichissons la biodiversité du parc municipal,Environnement,Plantation,"reforestation, parc urbain, biodiversité, municipal"
Atelier spray nettoyant,Créez votre nettoyant multi-surfaces naturel,Environnement,Éco-atelier,"atelier, spray, nettoyant, multi-surfaces, naturel"
Formation énergie grise,Comprendre l'énergie cachée dans nos objets,Environnement,Sensibilisation,"formation, énergie grise, cachée, objets, compréhension"
Financement potager toit,Cultivons sur les toits pour verdir la ville,Environnement,Collecte de fonds,"financement, potager, toit, culture, verdissement"
Nettoyage étang,Restaurons la clarté de l'étang du village,Environnement,Nettoyage,"étang, village, nettoyage, restauration, clarté"
Plantation saules,Plantons des saules pour filtrer l'eau naturellement,Environnement,Plantation,"saules, plantation, filtration, eau, naturel"
Atelier écharpe polaire récup,Transformez vos vieux pulls en écharpes douces,Environnement,Éco-atelier,"atelier, écharpe, polaire, récupération, transformation"
Conférence obsolescence programmée,Lutter contre le gaspillage électronique organisé,Environnement,Sensibilisation,"conférence, obsolescence programmée, gaspillage, électronique"
Levée fonds rucher école,Installons des ruches pédagogiques dans l'école,Environnement,Collecte de fonds,"levée de fonds, rucher, école, ruches pédagogiques"
Nettoyage piste cyclable,Sécurisons et nettoyons les voies cyclables,Environnement,Nettoyage,"piste cyclable, nettoyage, sécurité, voies"
Plantation aulnes,Plantons des aulnes pour enrichir les sols,Environnement,Plantation,"aulnes, plantation, enrichissement, sols"
Atelier gel douche maison,Fabriquez votre gel douche naturel et doux,Environnement,Éco-atelier,"atelier, gel douche, maison, naturel, fabrication"
Webinaire microplastiques,Les plastiques invisibles dans notre environnement,Environnement,Sensibilisation,"webinaire, microplastiques, invisibles, environnement"
Don réhabilitation zone,Financez la restauration d'un site dégradé,Environnement,Collecte de fonds,"don, réhabilitation, zone, restauration, site"
Ramassage filets pêche plage,Collectons les déchets de pêche sur le littoral,Environnement,Nettoyage,"filets, pêche, plage, ramassage, littoral"
Reforestation coteau,Replantons les coteaux pour éviter l'érosion,Environnement,Plantation,"reforestation, coteau, replantation, érosion"
Atelier gommage corps,Créez vos gommages corporels avec des ingrédients naturels,Environnement,Éco-atelier,"atelier, gommage, corps, ingrédients naturels"
Conférence fonte arctique,Les bouleversements climatiques au pôle Nord,Environnement,Sensibilisation,"conférence, fonte, arctique, bouleversements, climatiques"
Financement serre bioclimatique,Construisons une serre écologique communautaire,Environnement,Collecte de fonds,"financement, serre, bioclimatique, écologique, communautaire"
Nettoyage pont,Opération propreté sous et autour du pont,Environnement,Nettoyage,"pont, nettoyage, propreté, opération"
Plantation frênes,Replantons des frênes résistants à la chalarose,Environnement,Plantation,"frênes, plantation, résistants, replantation"
Atelier bougies cire végétale,Fabriquez des bougies écologiques sans paraffine,Environnement,Éco-atelier,"atelier, bougies, cire végétale, écologique"
Formation sobriété énergétique,Réduire sa consommation d'énergie au quotidien,Environnement,Sensibilisation,"formation, sobriété énergétique, réduction, consommation"
Crowdfunding bergerie solaire,Équipons la ferme en énergie renouvelable,Environnement,Collecte de fonds,"crowdfunding, bergerie, solaire, ferme, renouvelable"
Nettoyage marais salants,Préservons ce patrimoine naturel et culturel,Environnement,Nettoyage,"marais salants, nettoyage, patrimoine, préservation"
Plantation arbres mellifères,Nourrissons les abeilles avec des arbres à fleurs,Environnement,Plantation,"arbres, mellifères, plantation, abeilles, fleurs"
Atelier vinaigre ménager,Préparez votre nettoyant universel au vinaigre,Environnement,Éco-atelier,"atelier, vinaigre, ménager, nettoyant, universel"
Conférence déforestation tropicale,Les enjeux de la destruction des forêts primaires,Environnement,Sensibilisation,"conférence, déforestation, tropicale, forêts primaires"
Don abri hérissons,Installez des refuges pour protéger les hérissons,Environnement,Collecte de fonds,"don, abri, hérissons, refuges, protection"
Ramassage cigarettes parc,Collectons les mégots toxiques dans les espaces verts,Environnement,Nettoyage,"cigarettes, mégots, parc, ramassage, espaces verts"
Reforestation lande,Restaurons l'écosystème de lande dégradé,Environnement,Plantation,"reforestation, lande, restauration, écosystème"
Atelier masque visage naturel,Créez vos soins du visage avec des plantes,Environnement,Éco-atelier,"atelier, masque, visage, naturel, plantes, soins"
